product_id,profit,product_name,product_type,unit_price,unit_cost,season
p0042,245.2800000000001,Piment d'Espelette,Pepper,1.2800000000000002,0.8,s1
p0027,199.92000000000007,Onions,Vegetable,0.6400000000000001,0.4,s2
p0040,194.88000000000008,Aji Amarillo,Pepper,1.1199999999999999,0.7,s4
p0038,186.15000000000003,Chicory,Vegetable,1.36,0.85,s3
p0035,165.48000000000008,Garlic,Vegetable,1.1199999999999999,0.7,s1
p0022,159.03000000000003,Clementines,fruit,0.7200000000000001,0.45,s3
p0004,134.88000000000005,Grapes,fruit,1.2800000000000002,0.8,s3
p0019,134.64000000000004,Avocados,fruit,1.36,0.85,s2
p0017,133.03200000000004,Dates,fruit,1.4720000000000002,0.92,s1
p0045,128.09999999999997,Ancho Chile,Pepper,0.5599999999999999,0.35,s1
p0036,126.40800000000003,Gherkins,Vegetable,1.4720000000000002,0.92,s4
p0028,122.75999999999999,Cucumbers,Vegetable,0.96,0.6,s3
p0031,120.96000000000005,Carrots,Vegetable,1.2800000000000002,0.8,s2
p0010,120.90000000000002,Melons,fruit,0.8,0.5,s1
p0029,119.40000000000002,Cabbages,Vegetable,0.8,0.5,s3
